,Operacao,Operador_Padronizado,Descricao_do_Tipo
5994,Voo Regular,GOL,OUTROS
6002,Voo Regular,TAM,COLISÃO COM AVE
6007,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6011,Táxi Aéreo,VIP JET AEROTAXI LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6013,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6020,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6023,Táxi Aéreo,AMAPIL TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6025,Voo Regular,OCEANAIR,OUTROS
6027,Voo Regular,OCEANAIR,COLISÃO NO SOLO
6028,Voo Regular,TWO TAXI AEREO LTDA,OUTROS
6037,Voo Regular,AZUL,OUTROS
6047,Voo Regular,GOL,OUTROS
6050,Voo Regular,OCEANAIR,OUTROS
6051,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
6057,Voo Regular,OCEANAIR,OUTROS
6058,Voo Regular,TAM,
6062,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6064,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6067,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6069,Táxi Aéreo,HELIMARTE TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6070,Voo Regular,AZUL,OUTROS
6072,Táxi Aéreo,AEROLEO TAXI AEREO,COLISÃO COM AVE
6076,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6086,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6093,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6094,Táxi Aéreo,MATO GROSSO DO SUL TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6097,Táxi Aéreo,NEO TAXI AEREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
6105,Voo Regular,TAM,COLISÃO NO SOLO
6114,Voo Regular,AZUL,OUTROS
6116,Táxi Aéreo,NORTE JET TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6118,Táxi Aéreo,ULTRAPLANA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6119,Voo Regular,OCEANAIR,OUTROS
6120,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6122,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6123,Voo Regular,OCEANAIR,OUTROS
6124,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,OUTROS
6128,Voo Regular,AZUL,INCURSÃO EM PISTA
6134,Táxi Aéreo,FRISONFLY HELICOPTEROS SERVICO AEREO ESPECIALIZADO E TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6141,Táxi Aéreo,NEUSA MARIA CARVALHO BARBOSA,INDETERMINADO
6148,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6149,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6153,Voo Regular,GOL,TURBULÊNCIA
6163,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6167,Voo Regular,AZUL,FOGO/FUMAÇA
6169,Táxi Aéreo,UNIAIR TAXI AEREO LTDA,OUTROS
6175,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6176,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6180,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6188,Voo Regular,AVIANCA COLOMBIA,OUTROS
6189,Voo Regular,TOTAL,OUTROS
6190,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6191,Táxi Aéreo,TAXI AEREO DOURADO LTDA,OUTROS
6199,Voo Regular,OCEANAIR,OUTROS
6200,Voo Regular,MAP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6203,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,OUTROS
6204,Voo Regular,AZUL,COLISÃO NO SOLO
6208,Voo Regular,AZUL,FOGO/FUMAÇA
6212,Voo Regular,OCEANAIR,OUTROS
6224,Voo Regular,GOL,OPERAÇÕES NO SOLO
6226,Voo Regular,OCEANAIR,OUTROS
6230,Táxi Aéreo,TAXI AEREO FORTALEZA LTDA,INDETERMINADO
6234,Voo Regular,TAP PORTUGAL,OPERAÇÕES NO SOLO
6235,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6237,Voo Regular,OCEANAIR,OUTROS
6239,Voo Regular,OCEANAIR,PERDA DE CONTROLE NO SOLO
6244,Voo Regular,AZUL,OUTROS
6250,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6251,Voo Regular,AZUL,COLISÃO COM AVE
6256,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6264,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,OUTROS
6266,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6268,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6269,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6270,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6277,Voo Regular,AZUL,COLISÃO COM AVE
6283,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6286,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6289,Voo Regular,OCEANAIR,TURBULÊNCIA
6298,Voo Regular,AZUL,OUTROS
6311,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6313,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6320,Táxi Aéreo,LIDER TAXI AEREO�S A AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6322,Voo Regular,LAN CHILE S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6327,Voo Regular,OPERADOR ESTRANGEIRO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6331,Voo Regular,AZUL,COLISÃO COM AVE
6332,Voo Regular,TAM,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)"
6337,Táxi Aéreo,AERO STAR TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6339,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
6340,Voo Regular,OCEANAIR,OUTROS
6346,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6354,Voo Regular,AZUL,FOGO/FUMAÇA
6355,Táxi Aéreo,UIRAPURU TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6360,Táxi Aéreo,BRASIL VIDA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6361,Táxi Aéreo,BRASIL VIDA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6365,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,CONTATO ANORMAL COM A PISTA
6366,Voo Regular,AZUL,CONTATO ANORMAL COM A PISTA
6368,Voo Regular,TOTAL,OUTROS
6372,Voo Regular,TAM,FOGO/FUMAÇA
6373,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6380,Voo Regular,OCEANAIR,OUTROS
6386,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6391,Táxi Aéreo,ELITE AVIATION TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6394,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OPERAÇÕES NO SOLO
6404,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6412,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6415,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6419,Voo Regular,TAM,OUTROS
6421,Voo Regular,TOTAL,FOGO/FUMAÇA
6422,Voo Regular,AZUL,OUTROS
6425,Voo Regular,TAM,OUTROS
6426,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6429,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6433,Voo Regular,MAP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6434,Voo Regular,UNITED AIRLINES,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6435,Voo Regular,OCEANAIR,OUTROS
6436,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6439,Voo Regular,COPA AIRLINES,OUTROS
6441,Voo Regular,TOTAL,PERDA DE CONTROLE NO SOLO
6445,Táxi Aéreo,ROTA DO SOL TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
6448,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6454,Táxi Aéreo,A.R.T. TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6460,Táxi Aéreo,BIMAVA TAXI AEREO LTDA.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6462,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6466,Táxi Aéreo,BRASIL VIDA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6471,Voo Regular,AZUL,TURBULÊNCIA
6474,Táxi Aéreo,A.R.T. TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6477,Voo Regular,GOL,COLISÃO NO SOLO
6479,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6482,Voo Regular,GOL,EXCURSÃO DE PISTA
6489,Voo Regular,TAM,COLISÃO COM AVE
6491,Táxi Aéreo,ICARAI TURISMO TAXI AEREO LTDA,COMBUSTÍVEL
6492,Voo Regular,AZUL,OUTROS
6493,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
6494,Táxi Aéreo,CTA CLEITON TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6501,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6504,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6505,Voo Regular,AZUL,FOGO/FUMAÇA
6511,Táxi Aéreo,CHC DO BRASIL TAXI AEREO S.A,OUTROS
6513,Voo Regular,AZUL,CONTATO ANORMAL COM A PISTA
6517,Voo Regular,AZUL,CONTATO ANORMAL COM A PISTA
6530,Táxi Aéreo,ALTER AVIATION - SAE LTDA,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
6533,Voo Regular,AZUL,AERÓDROMO
6542,Táxi Aéreo,ABAETE TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6545,Voo Regular,OCEANAIR,OUTROS
6552,Táxi Aéreo,RIO PURUS TAXI AEREO LTDA - EPP,EXCURSÃO DE PISTA
6553,Táxi Aéreo,RIO PURUS TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6554,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6557,Voo Regular,OCEANAIR,OUTROS
6558,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6563,Voo Regular,GOL,OUTROS
6564,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6571,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6573,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6578,Voo Regular,TAM,OUTROS
6579,Voo Regular,TAM,OUTROS
6581,Voo Regular,OCEANAIR,OUTROS
6596,Táxi Aéreo,FTA FLY TAXI AEREO LTDA,PERDA DE CONTROLE NO SOLO
6600,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
6601,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6605,Voo Regular,GOL,OUTROS
6616,Voo Regular,AZUL,OUTROS
6617,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6631,Voo Regular,AZUL,COLISÃO COM AVE
6632,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6635,Táxi Aéreo,OMNI TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
6636,Voo Regular,GOL,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
6644,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6645,Voo Regular,AZUL,OUTROS
6646,Voo Regular,AZUL,OUTROS
6647,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6648,Voo Regular,OCEANAIR,OUTROS
6649,Voo Regular,GOL,TURBULÊNCIA
6651,Voo Regular,AZUL,COLISÃO NO SOLO
6652,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6653,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6656,Táxi Aéreo,AMAPIL TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6658,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
6659,Voo Regular,PASSAREDO,OUTROS
6660,Voo Regular,TOTAL,EXCURSÃO DE PISTA
6662,Voo Regular,TOTAL,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
6663,Táxi Aéreo,AEROBRAN TAXI AEREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
6664,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
6665,Táxi Aéreo,CAMEJO TAXI AEREO LTDA - ME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6670,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6671,Voo Regular,GOL,INCURSÃO EM PISTA
6673,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6674,Táxi Aéreo,BIMAVA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6680,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6685,Voo Regular,TAM,COLISÃO NO SOLO
6686,Voo Regular,AVIANCA COLOMBIA,OPERAÇÕES NO SOLO
6689,Táxi Aéreo,ICON TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6700,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6701,Táxi Aéreo,HERINGER TAXI AEREO LTDA,FOGO/FUMAÇA
6702,Voo Regular,TAM,OUTROS
6706,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6707,Voo Regular,TAM,FOGO/FUMAÇA
6708,Voo Regular,MAP,COLISÃO NO SOLO
6709,Voo Regular,OPERADOR ESTRANGEIRO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
6716,Voo Regular,VIACAO AEREA SAO PAULO S.A VASP,
6720,Táxi Aéreo,JS TAXI AEREO,EXCURSÃO DE PISTA
6721,Táxi Aéreo,PRATICA TAXI A.ESC.PIL.HELIC.LTDA,
6724,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
6727,Táxi Aéreo,AEROMASTER TAXI AEREO LTDA,
6734,Táxi Aéreo,ANAUA TAXI AEREO LTDA,
6740,Táxi Aéreo,PEMA – PEREIRA MACHADO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6747,Voo Regular,LAN CHILE AIRLINES,COMBUSTÍVEL
6750,Voo Regular,TRIP,OUTROS
6753,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,
6756,Voo Regular,RLA RICO LINHAS AEREAS S/A,
6757,Táxi Aéreo,ATLAS TAXI AEREO LTDA,OUTROS
6763,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,
6764,Táxi Aéreo,AEROLEO TAXI AEREO,OUTROS
6773,Táxi Aéreo,AEROLEO TAXI AEREO,
6775,Táxi Aéreo,AERO EXPRESS TAXI AEREO LTDA,
6776,Táxi Aéreo,JOSE OILIAS VARGAS TAXI AEREO,
6778,Táxi Aéreo,JAT AEROTAXI LTDA,
6783,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,
6788,Táxi Aéreo,NHR TAXI AEREO LTDA,
6797,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
6802,Táxi Aéreo,BEM TE VI TAXI AEREO LTDA,
6803,Táxi Aéreo,TAXI AEREO DOURADO LTDA,
6810,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6811,Voo Regular,RIO,
6812,Táxi Aéreo,LIDER TAXI AEREO S A AIR BRASIL,
6826,Táxi Aéreo,PRATICA TAXI A.ESC.PIL.HELIC.LTDA,
6829,Voo Regular,TOTAL,
6832,Voo Regular,RLA RICO LINHAS AEREAS S/A,
6834,Voo Regular,TAM,
6836,Táxi Aéreo,OLINDA TAXI AEREO LTDA,
6840,Táxi Aéreo,FOX TAXI AEREO LTDA,
6843,Voo Regular,TAM,
6848,Voo Regular,VARIG/GOL,
6849,Táxi Aéreo,BRAZILIAN EXPRESS TRANSP.AEREOS LTDA,
6852,Táxi Aéreo,BEM TE VI TAXI AEREO LTDA,
6853,Táxi Aéreo,TARP TAXI AEREO,
6854,Táxi Aéreo,CONTINENTAL TAXI AEREO LTDA,
6860,Táxi Aéreo,SANTAFE TAXI AEREO LTDA,
6862,Voo Regular,TAF LINHAS AEREAS S/A,OUTROS
6877,Táxi Aéreo,DS AIR TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
6896,Voo Regular,TAM,OUTROS
6915,Táxi Aéreo,HELIBARRA TAXI AEREO LTDA,
6920,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6929,Táxi Aéreo,JAT AEROTAXI LTDA,
6930,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,COLISÃO NO SOLO
6931,Táxi Aéreo,ALP AERO TAXI LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6937,Táxi Aéreo,TAXI AEREO CANDIDO LTDA,
6938,Voo Regular,PENTA PENA TRANSPORTES AEREOS S/A,
6939,Táxi Aéreo,TOCANTINS TAXI AEREO LTDA,
6944,Táxi Aéreo,HELIRIO TAXI AEREO LTDA,
6945,Táxi Aéreo,ZAKI AEROTAXI LTDA,
6951,Táxi Aéreo,HERINGER TAXI AEREO LTDA,INDETERMINADO
6953,Táxi Aéreo,SOURE TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6959,Voo Regular,TAM,OUTROS
6967,Voo Regular,MAP,
6968,Voo Regular,TRIP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
6969,Voo Regular,AZUL,OUTROS
6971,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
6999,Táxi Aéreo,MANAUS AEROTAXI PARTICIPACOES LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
7007,Táxi Aéreo,CEARA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
7010,Táxi Aéreo,ATA – AEROTAXI ABAETE LTDA,PERDA DE CONTROLE EM VOO
7021,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,MÉDICO
7029,Táxi Aéreo,SONIA DE SOUZA STIVAL BANDEIRA,PERDA DE CONTROLE NO SOLO
7030,Táxi Aéreo,SONIA DE SOUZA STIVAL BANDEIRA,EXCURSÃO DE PISTA
7031,Táxi Aéreo,VOETUR TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
7036,Voo Regular,TRIP,
7038,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
7039,Voo Regular,AZUL,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
7040,Táxi Aéreo,VERA CRUZ TAXI AEREO LTDA,OUTROS
7042,Voo Regular,AZUL,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
7044,Táxi Aéreo,TWO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
7048,Voo Regular,TRIP,
7053,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
7054,Táxi Aéreo,OLIVEIRA SILVA TAXI AEREO LTDA,
7066,Táxi Aéreo,TAXI AEREO WEISS LTDA,
7072,Táxi Aéreo,NORDESTE TAXI AEREO DE HELICOP.LTDA,PERDA DE CONTROLE NO SOLO
7076,Táxi Aéreo,ATLAS TAXI AEREO LTDA,FOGO/FUMAÇA
7079,Táxi Aéreo,VECTOR TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
7080,Táxi Aéreo,VECTOR TAXI AEREO LTDA,EXCURSÃO DE PISTA
7090,Táxi Aéreo,TASUL TAXI AEREO SUL LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
7092,Táxi Aéreo,REALI TAXI AEREO LTDA,
7099,Táxi Aéreo,RORAIMA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
7104,Táxi Aéreo,CCA CEREAL CITRUS AEREO TAXI LDA,PERDA DE CONTROLE EM VOO
7111,Táxi Aéreo,CASEBRAS-C.ASSIST. DO SERV. BRAS.,EXCURSÃO DE PISTA
7118,Táxi Aéreo,PARINTINS TAXI AEREO LTDA,
7132,Táxi Aéreo,AEROTAXI ITAPEMA LTDA,
7134,Voo Regular,AZUL,
7137,Voo Regular,AZUL,
7138,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
7139,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
7141,Táxi Aéreo,OMNI TAXI AEREO LTDA,OUTROS
7143,Táxi Aéreo,HELISUL TAXI AEREO LTDA,COLISÃO COM AVE
7144,Táxi Aéreo,SETE TAXI AEREO LTDA,
7148,Voo Regular,TRIP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
7149,Táxi Aéreo,TWO TAXI AEREO LTDA,
7150,Táxi Aéreo,SOURE TAXI AEREO LTDA,
7153,Voo Regular,SKYMASTER AIRLINES LTDA,
7154,Táxi Aéreo,TAXI AEREO CUIABA LTDA,
7157,Táxi Aéreo,HERINGER TAXI AEREO LTDA,
7158,Táxi Aéreo,TAXI AEREO RIO AMAZONAS LTDA,
7171,Táxi Aéreo,ICARAI TURISMO TAXI AEREO LTDA,PERDA DE CONTROLE EM VOO
7181,Táxi Aéreo,TAXI AEREO WEISS LTDA,PERDA DE CONTROLE NO SOLO
7182,Táxi Aéreo,TAXI AEREO WEISS LTDA,EXCURSÃO DE PISTA
7183,Táxi Aéreo,TOP LINE TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
7186,Táxi Aéreo,W & J TAXI AEREO LTDA,OUTROS
7189,Táxi Aéreo,HELISUL TAXI AEREO LTDA,
7190,Táxi Aéreo,HELIRIO TAXI AEREO LTDA,
7191,Táxi Aéreo,BATA BAHIA TAXI AEREO LTDA,EXCURSÃO DE PISTA
7194,Táxi Aéreo,RADIAL AEROTAXI LTDA - EPP,
7197,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
7199,Táxi Aéreo,CURURUPU TAXI AEREO LTDA,
7201,Voo Regular,TAM,EXCURSÃO DE PISTA
7202,Voo Regular,PANTANAL,EXCURSÃO DE PISTA
7205,Táxi Aéreo,FRETAX TAXI AEREO LTDA,
7208,Táxi Aéreo,BRASIL VIDA TAXI AEREO LTDA - EPP,
7212,Táxi Aéreo,NHR TAXI AEREO LTDA,
7215,Táxi Aéreo,EASY TAXI AEREO LTDA,
7216,Voo Regular,RLA RICO LINHAS AEREAS S/A,
7217,Táxi Aéreo,EASY TAXI AEREO LTDA,OUTROS
7221,Voo Regular,RIO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
7223,Táxi Aéreo,RIMA RIO MADEIRA AEROTAXI LTDA,CONTATO ANORMAL COM A PISTA
7232,Táxi Aéreo,LUXSTARS AEROTAXI LTDA,
7236,Táxi Aéreo,JOSE OILIAS VARGAS TAXI AEREO,
7240,Táxi Aéreo,RORAIMA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
7242,Táxi Aéreo,ASSIS AEROTAXI LTDA,PERDA DE CONTROLE NO SOLO
7243,Táxi Aéreo,ASSIS AEROTAXI LTDA,EXCURSÃO DE PISTA
