,Operacao,Operador_Padronizado,Descricao_do_Tipo
723,Táxi Aéreo,WJ TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
724,Táxi Aéreo,AEROWAL TAXI AEREO LTDA,OUTROS
726,Táxi Aéreo,AEROCESSNA TAXI AEREO LTDA,COLISÃO NO SOLO
727,Táxi Aéreo,ADEY TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
728,Táxi Aéreo,ADEY TAXI AEREO,EXCURSÃO DE PISTA
731,Táxi Aéreo,ADEY TAXI AEREO,EXCURSÃO DE PISTA
732,Voo Regular,GOL,PERDA DE CONTROLE EM VOO
734,Táxi Aéreo,VERA CRUZ TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
736,Táxi Aéreo,LIDER TAXI AEREO S.A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
737,Voo Regular,OCEANAIR LINHAS AEREAS LTDA.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
738,Táxi Aéreo,TAXI AEREO CHAPECO LTDA,FOGO/FUMAÇA
739,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
740,Táxi Aéreo,,EXCURSÃO DE PISTA
741,Táxi Aéreo,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
743,Voo Regular,OCEANAIR LINHAS AEREAS LTDA.,FALHA OU MAU FUNCIONAMENTO DO MOTOR
744,Voo Regular,GOL,EXCURSÃO DE PISTA
745,Voo Regular,GOL,EXCURSÃO DE PISTA
746,Táxi Aéreo,ADEY TAXI AEREO,CONTATO ANORMAL COM A PISTA
747,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
748,Voo Regular,BRA TRANSPORTES AEREOS,EXCURSÃO DE PISTA
749,Voo Regular,BRA TRANSPORTES AEREOS,PERDA DE CONTROLE NO SOLO
750,Voo Regular,INTERATIVA TAXI AEREO,FOGO/FUMAÇA
752,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
753,Táxi Aéreo,LUG TAXI AEREO,COLISÃO COM AVE
754,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
759,Táxi Aéreo,LOGO AIR TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
767,Voo Regular,TWO TAXI AEREO LTDA,AERÓDROMO
769,Táxi Aéreo,NO LIMITS TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
